Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
10.17,60.15,29.68,159.16,,,,,,,,,,,,,,,,,,,,,,
9.02,61.31,29.67,159.16,,,,,,,,,,,,,,,,,,,,,,
7.9,62.4,29.7,159.16,,,,,,,,,,,,,,,,,,,,,,
6.91,63.23,29.86,159.16,,,,,,,,,,,,,,,,,,,,,,
5.92,64.05,30.03,159.16,,,,,,,,,,,,,,,,,,,,,,
6.11,63.91,29.98,159.16,,,,,,,,,,,,,,,,,,,,,,
5.19,64.6,30.22,159.16,,,,,,,,,,,,,,,,,,,,,,
4.3,65.21,30.48,159.16,,,,,,,,,,,,,,,,,,,,,,
3.45,65.76,30.79,159.16,,,,,,,,,,,,,,,,,,,,,,
2.57,66.38,31.05,159.16,,,,,,,,,,,,,,,,,,,,,,
1.85,66.66,31.49,159.16,,,,,,,,,,,,,,,,,,,,,,
2.92,66.38,30.71,159.16,,,,,,,,,,,,,,,,,,,,,,
2.2,66.65,31.15,159.16,,,,,,,,,,,,,,,,,,,,,,
1.28,67.34,31.38,159.16,,,,,,,,,,,,,,,,,,,,,,
0.4,67.96,31.65,159.16,,,,,,,,,,,,,,,,,,,,,,
0.03,68.14,31.83,159.16,,,,,,,,,,,,,,,,,,,,,,
8.51,61.78,29.72,159.16,,,,,,,,,,,,,,,,,,,,,,
9.52,60.75,29.72,159.16,,,,,,,,,,,,,,,,,,,,,,
10.97,59.11,29.93,159.16,,,,,,,,,,,,,,,,,,,,,,
11.39,58.6,30.01,159.16,,,,,,,,,,,,,,,,,,,,,,
12.32,57.39,30.28,159.16,,,,,,,,,,,,,,,,,,,,,,
12.87,56.61,30.52,159.16,,,,,,,,,,,,,,,,,,,,,,
13.3,55.89,30.81,159.16,,,,,,,,,,,,,,,,,,,,,,
14.15,54.5,31.35,159.16,,,,,,,,,,,,,,,,,,,,,,
14.54,53.78,31.68,159.16,,,,,,,,,,,,,,,,,,,,,,
15.05,52.83,32.12,159.16,,,,,,,,,,,,,,,,,,,,,,
15.44,52.12,32.44,159.16,,,,,,,,,,,,,,,,,,,,,,
15.79,51.49,32.72,159.16,,,,,,,,,,,,,,,,,,,,,,
16.09,50.96,32.95,159.16,,,,,,,,,,,,,,,,,,,,,,
16.8,49.53,33.67,159.16,,,,,,,,,,,,,,,,,,,,,,
17.17,48.79,34.05,159.16,,,,,,,,,,,,,,,,,,,,,,
17.67,47.77,34.56,159.16,,,,,,,,,,,,,,,,,,,,,,
